HSN,Description,UQC,Total Quantity,Total Value,Taxable Value,Integrated Tax Amount,Central Tax Amount,State/UT Tax Amount,Cess Amount,Rate
11081200,,NOS-Numbers,12.00,428.40,408.00,0.00,10.20,10.20,0.00,5
15153090,,NOS-Numbers,24.00,929.88,885.60,0.00,22.14,22.14,0.00,5
15159020,,NOS-Numbers,7.00,251.94,239.96,0.00,5.99,5.99,0.00,5
29029040,,NOS-Numbers,31.00,4708.24,3990.04,0.00,359.10,359.10,0.00,18
30039011,,NOS-Numbers,12.00,1511.13,1439.19,0.00,35.97,35.97,0.00,5
30049006,,NOS-Numbers,3.00,895.24,852.60,0.00,21.32,21.32,0.00,5
30049011,,NOS-Numbers,231.00,12878.76,12265.50,0.00,306.63,306.63,0.00,5
30049014,,NOS-Numbers,3.00,499.78,475.98,0.00,11.90,11.90,0.00,5
30049069,,NOS-Numbers,51.00,5093.22,4850.66,0.00,121.28,121.28,0.00,5
30049069,,NOS-Numbers,3.00,954.92,852.60,0.00,51.16,51.16,0.00,12
30059040,,NOS-Numbers,18.00,644.28,613.62,0.00,15.33,15.33,0.00,5
33012928,,NOS-Numbers,12.00,571.36,484.20,0.00,43.58,43.58,0.00,18
33030050,,NOS-Numbers,115.00,37005.16,31360.30,0.00,2822.43,2822.43,0.00,18
33030090,,NOS-Numbers,110.00,16326.48,13836.00,0.00,1245.24,1245.24,0.00,18
3304,,NOS-Numbers,79.00,4211.95,3569.45,0.00,321.25,321.25,0.00,18
33041000,,NOS-Numbers,72.00,7849.75,6652.31,0.00,598.72,598.72,0.00,18
33042000,,NOS-Numbers,38.00,1702.73,1442.99,0.00,129.87,129.87,0.00,18
33049110,,NOS-Numbers,28.00,3263.45,3108.03,0.00,77.71,77.71,0.00,5
33049120,,NOS-Numbers,67.00,6602.98,6288.56,0.00,157.21,157.21,0.00,5
33049120,,NOS-Numbers,8.00,1257.90,1066.02,0.00,95.94,95.94,0.00,18
3304990,,NOS-Numbers,11.00,1188.63,1007.31,0.00,90.66,90.66,0.00,18
33049910,,NOS-Numbers,32.00,6020.22,5101.88,0.00,459.17,459.17,0.00,18
33049920,,NOS-Numbers,60.00,1866.28,1581.60,0.00,142.34,142.34,0.00,18
33049930,,NOS-Numbers,193.00,30086.14,25496.68,0.00,2294.73,2294.73,0.00,18
33049940,,NOS-Numbers,12.00,126.00,120.00,0.00,3.00,3.00,0.00,5
33049990,,NOS-Numbers,677.00,77347.09,65548.39,0.00,5899.35,5899.35,0.00,18
33051090,,NOS-Numbers,256.00,26486.08,25224.86,0.00,630.61,630.61,0.00,5
33051090,,NOS-Numbers,34.00,4648.20,3939.14,0.00,354.53,354.53,0.00,18
