HSN,Description,UQC,Total Quantity,Total Value,Taxable Value,Integrated Tax Amount,Central Tax Amount,State/UT Tax Amount,Cess Amount,Rate
15153090,,NOS-Numbers,12.00,598.50,570.00,0.00,14.25,14.25,0.00,5
15159020,,NOS-Numbers,12.00,598.50,570.00,0.00,14.25,14.25,0.00,5
30039011,,NOS-Numbers,2.00,567.00,540.00,0.00,13.50,13.50,0.00,5
30049011,,NOS-Numbers,12.00,1873.58,1784.34,0.00,44.62,44.62,0.00,5
30049012,,NOS-Numbers,2.00,199.50,190.00,0.00,4.75,4.75,0.00,5
33030050,,NOS-Numbers,15.00,2527.56,2142.00,0.00,192.78,192.78,0.00,18
33030090,,NOS-Numbers,8.00,1352.16,1145.90,0.00,103.13,103.13,0.00,18
3304,,NOS-Numbers,3.00,299.87,254.13,0.00,22.87,22.87,0.00,18
33041000,,NOS-Numbers,121.00,3107.86,2633.78,0.00,237.04,237.04,0.00,18
33049110,,NOS-Numbers,4.00,383.88,365.60,0.00,9.14,9.14,0.00,5
33049120,,NOS-Numbers,7.00,516.19,491.61,0.00,12.29,12.29,0.00,5
33049120,,NOS-Numbers,1.00,103.84,88.00,0.00,7.92,7.92,0.00,18
33049910,,NOS-Numbers,20.00,1573.50,1333.46,0.00,120.02,120.02,0.00,18
33049930,,NOS-Numbers,109.00,2193.79,1859.13,0.00,167.33,167.33,0.00,18
33049990,,NOS-Numbers,93.00,6996.22,5929.00,0.00,533.61,533.61,0.00,18
33051090,,NOS-Numbers,7.00,537.56,511.96,0.00,12.80,12.80,0.00,5
33059011,,NOS-Numbers,9.00,951.76,906.42,0.00,22.67,22.67,0.00,5
33059040,,NOS-Numbers,69.00,6711.87,5688.01,0.00,511.93,511.93,0.00,18
33059090,,NOS-Numbers,11.00,1531.28,1297.70,0.00,116.79,116.79,0.00,18
3307,,NOS-Numbers,3.00,322.14,273.00,0.00,24.57,24.57,0.00,18
33071010,,NOS-Numbers,3.00,128.52,122.40,0.00,3.06,3.06,0.00,5
33071090,,NOS-Numbers,2.00,250.32,238.40,0.00,5.96,5.96,0.00,5
33072000,,NOS-Numbers,56.00,5792.21,4908.67,0.00,441.77,441.77,0.00,18
33079090,,NOS-Numbers,12.00,772.30,654.48,0.00,58.91,58.91,0.00,18
3309,,NOS-Numbers,9.00,1221.30,1035.00,0.00,93.15,93.15,0.00,18
34029019,,NOS-Numbers,36.00,5720.64,4848.00,0.00,436.32,436.32,0.00,18
38089132,,NOS-Numbers,7.00,1010.38,856.26,0.00,77.06,77.06,0.00,18
38089135,,NOS-Numbers,108.00,3855.60,3672.00,0.00,91.80,91.80,0.00,5
38089199,,NOS-Numbers,36.00,1585.92,1344.00,0.00,120.96,120.96,0.00,18
39232100,,NOS-Numbers,192.00,9688.24,8210.40,0.00,738.92,738.92,0.00,18
39241090,,NOS-Numbers,8.00,1008.00,960.00,0.00,24.00,24.00,0.00,5
39269080,,NOS-Numbers,8.00,863.94,822.80,0.00,20.57,20.57,0.00,5
40141010,,NOS-Numbers,80.00,1200.00,1200.00,0.00,0.00,0.00,0.00,
8506,,NOS-Numbers,32.00,1294.22,1096.80,0.00,98.71,98.71,0.00,18
85061000,,NOS-Numbers,200.00,2879.20,2440.00,0.00,219.60,219.60,0.00,18
96032100,,NOS-Numbers,100.00,1759.28,1675.50,0.00,41.89,41.89,0.00,5
96190096,,NOS-Numbers,24.00,565.74,538.80,0.00,13.47,13.47,0.00,5
